x1,x2,x3,x4,x5,x6,x7,x8,y
0.7137001,0.1424731,0.1318622,0.4651163,0.0645714,0.0000000,0.1341176,0.0977695,0.9000000
0.6555773,0.1505376,0.1318622,0.3406977,0.8114286,0.0000000,0.3294118,0.5762082,0.0750000
0.2464424,0.1209677,0.0107643,0.3639535,0.0365714,0.5843023,0.2823529,0.5985130,0.8000000
0.2409371,0.3790323,0.1318622,0.4534884,0.1130000,0.0000000,0.3019608,0.1527881,0.7500000
0.8505613,0.1209677,0.0134553,0.3744186,0.0377000,0.0000000,0.2588235,0.1762082,0.2375000
0.4993239,0.1209677,0.0215285,0.1627907,0.0000000,0.0000000,0.0741176,0.0985130,0.5125000
0.2217059,0.2634409,0.1318622,0.3511628,0.0229000,0.0000000,0.1898039,0.3977695,0.4500000
0.6905196,1.0000000,0.1318622,0.3197674,0.3782857,0.0000000,0.3803922,0.0000000,0.9625000
0.6126934,0.8951613,0.1318622,0.5453488,0.0040000,0.0000000,0.1596078,0.0000000,0.8000000
0.9716469,0.2526882,0.1318622,0.4744186,0.0702857,0.0000000,0.0000000,0.0000000,0.5125000
0.6113412,0.3655914,0.1318622,0.2302326,0.0045700,0.0000000,0.2588235,0.0330855,0.3875000
0.8839475,0.1209677,0.0188375,0.5767442,0.0034300,0.0000000,0.3725490,0.1141264,0.9250000
0.2371059,0.4596774,0.1318622,0.6430233,0.1102857,0.0000000,0.3450980,0.0669145,0.9125000
0.5646584,0.1209677,0.0107643,0.0860465,0.2902857,0.2645349,0.1945098,0.0806691,0.5875000
0.6747655,0.1209677,0.0484392,0.3755814,0.0605714,0.0000000,0.1152941,0.0159851,0.4875000
1.0000000,0.1209677,0.0161464,0.2267442,0.1234286,0.0061047,0.1674510,0.0736059,0.2250000
0.7714795,0.1209677,0.1291712,0.2360465,0.0017100,0.0000000,0.0650980,0.0334572,0.6625000
1.0000000,0.1209677,0.0215285,0.1825581,0.0011429,0.0000000,0.1988235,0.2788104,0.2000000
0.2944775,0.1209677,0.0188375,0.4255814,0.0000000,0.0000000,0.1788235,0.1304833,0.2500000
0.8797836,0.1209677,0.0861141,0.0558140,0.0365714,0.0000000,0.1435294,0.1014870,0.7250000
0.6101071,0.3198925,0.1318622,0.6081395,0.0937143,0.0000000,0.2823529,0.2007435,0.6750000
0.4064304,0.1209677,0.0834230,0.0627907,0.0702857,0.1284884,0.1937255,0.0092937,0.4250000
0.0000000,0.4865591,0.1318622,0.0872093,0.0000000,0.0000000,0.1094118,0.0000000,0.9625000
0.2232298,0.2526882,0.1318622,0.1755814,0.6228571,0.0389535,0.1117647,0.0000000,0.7250000
0.3118199,0.1209677,0.0161464,0.3430233,0.0525714,0.0000000,0.0250980,0.2007435,0.5250000
0.1766328,0.1209677,0.1307858,0.2186047,0.0760000,0.0000000,0.4549020,0.2416357,0.8375000
