2025/03/20 08:32:39 PM, INFO, mealpy.swarm_based.PSO.AIW_PSO: Solving single objective optimization problem.
2025/03/20 08:32:39 PM, INFO, mealpy.swarm_based.PSO.AIW_PSO: >>>Problem: P, Epoch: 1, Current best: nan, Global best: nan, Runtime: 0.19595 seconds
2025/03/20 08:32:39 PM, INFO, mealpy.swarm_based.PSO.AIW_PSO: >>>Problem: P, Epoch: 2, Current best: nan, Global best: nan, Runtime: 0.23762 seconds
2025/03/20 08:32:40 PM, INFO, mealpy.swarm_based.PSO.AIW_PSO: >>>Problem: P, Epoch: 3, Current best: nan, Global best: nan, Runtime: 0.22015 seconds
2025/03/20 08:32:40 PM, INFO, mealpy.swarm_based.PSO.AIW_PSO: >>>Problem: P, Epoch: 4, Current best: nan, Global best: nan, Runtime: 0.16677 seconds
2025/03/20 08:32:40 PM, INFO, mealpy.swarm_based.PSO.AIW_PSO: >>>Problem: P, Epoch: 5, Current best: nan, Global best: nan, Runtime: 0.17985 seconds
2025/03/20 08:32:40 PM, INFO, mealpy.swarm_based.PSO.AIW_PSO: >>>Problem: P, Epoch: 6, Current best: nan, Global best: nan, Runtime: 0.18901 seconds
2025/03/20 08:32:40 PM, INFO, mealpy.swarm_based.PSO.AIW_PSO: >>>Problem: P, Epoch: 7, Current best: nan, Global best: nan, Runtime: 0.19808 seconds
2025/03/20 08:32:41 PM, INFO, mealpy.swarm_based.PSO.AIW_PSO: >>>Problem: P, Epoch: 8, Current best: nan, Global best: nan, Runtime: 0.17174 seconds
2025/03/20 08:32:41 PM, INFO, mealpy.swarm_based.PSO.AIW_PSO: >>>Problem: P, Epoch: 9, Current best: nan, Global best: nan, Runtime: 0.18282 seconds
2025/03/20 08:32:41 PM, INFO, mealpy.swarm_based.PSO.AIW_PSO: >>>Problem: P, Epoch: 10, Current best: nan, Global best: nan, Runtime: 0.20627 seconds
2025/03/20 08:32:41 PM, INFO, mealpy.swarm_based.PSO.AIW_PSO: >>>Problem: P, Epoch: 11, Current best: nan, Global best: nan, Runtime: 0.17903 seconds
2025/03/20 08:32:41 PM, INFO, mealpy.swarm_based.PSO.AIW_PSO: >>>Problem: P, Epoch: 12, Current best: nan, Global best: nan, Runtime: 0.17178 seconds
2025/03/20 08:32:42 PM, INFO, mealpy.swarm_based.PSO.AIW_PSO: >>>Problem: P, Epoch: 13, Current best: nan, Global best: nan, Runtime: 0.17015 seconds
2025/03/20 08:32:42 PM, INFO, mealpy.swarm_based.PSO.AIW_PSO: >>>Problem: P, Epoch: 14, Current best: nan, Global best: nan, Runtime: 0.18591 seconds
